stname,countyname,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20
AL,Autauga County,80,70,65,58,67,32,15,44,48,47,46,52,31,18,40,35,43,42,51,27,7,35,33
AL,Baldwin County,79,72,70,71,94,55,35,55,53,55,54,61,45,26,43,41,50,49,56,36,10,37,39
AL,Barbour County,103,92,78,75,80,67,39,65,72,71,75,86,57,52,69,59,63,59,66,55,23,51,47
AL,Bibb County,68,71,79,75,76,27,14,36,51,56,47,54,35,17,42,38,44,44,58,30,12,36,29
AL,Blount County,89,80,70,69,69,42,21,44,40,60,55,60,37,18,46,40,53,57,62,34,8,46,41
AL,Bullock County,82,52,65,77,85,45,40,46,45,105,61,61,44,16,44,17,78,54,27,43,16,9,10
AL,Butler County,84,81,66,82,84,68,30,53,57,51,44,61,46,23,43,42,52,43,59,41,26,36,30
AL,Calhoun County,94,85,79,85,80,58,28,49,61,71,70,74,53,29,62,52,60,64,73,48,11,48,48
AL,Chambers County,88,73,66,60,71,39,20,46,46,43,41,54,35,15,36,37,37,44,43,29,3,31,27
AL,Cherokee County,93,79,64,68,63,57,38,48,40,58,54,58,45,45,50,43,44,53,58,45,27,45,50
AL,Chilton County,93,93,77,82,89,55,28,56,63,68,71,81,53,23,64,53,68,70,75,49,16,51,46
AL,Choctaw County,84,96,83,89,85,57,24,67,79,78,65,64,57,21,60,40,59,65,59,25,16,64,39
AL,Clarke County,97,62,79,74,99,54,25,54,56,65,55,78,52,33,69,40,50,57,67,34,13,47,38
AL,Clay County,79,73,66,70,68,33,29,49,50,74,72,52,43,29,57,56,50,64,77,26,12,41,41
AL,Cleburne County,83,74,75,84,64,49,31,75,58,46,63,81,45,33,65,63,81,49,70,30,9,45,41
AL,Coffee County,88,83,79,84,76,43,34,63,63,73,70,79,44,27,55,51,63,80,73,40,9,48,50
AL,Colbert County,83,78,78,77,78,54,33,54,48,62,66,73,51,35,57,44,62,65,71,51,19,46,45
AL,Conecuh County,83,118,97,113,75,66,60,89,81,100,143,138,90,67,29,73,81,91,70,70,22,60,57
AL,Coosa County,116,90,77,93,93,64,66,80,61,81,80,90,54,45,69,56,72,61,84,69,39,68,66
AL,Covington County,99,84,88,90,86,50,48,75,69,74,69,86,47,30,58,53,62,68,66,45,23,63,51
AL,Crenshaw County,100,83,67,76,92,44,26,66,68,64,59,57,38,17,69,56,65,51,81,40,7,55,65
AL,Cullman County,89,82,76,81,79,53,36,59,56,72,73,75,55,35,65,53,63,65,80,53,23,58,56
AL,Dale County,96,90,77,87,91,58,33,67,67,71,72,71,43,20,62,59,66,69,71,38,7,54,48
AL,Dallas County,93,88,81,78,85,68,42,64,61,82,68,63,44,34,56,46,57,61,70,41,21,51,41
AL,DeKalb County,87,79,81,82,80,55,34,55,54,74,70,80,52,40,57,51,60,69,70,45,12,50,51
AL,Elmore County,92,80,71,74,77,42,21,57,58,60,66,65,40,21,58,43,58,58,63,35,13,46,44
AL,Escambia County,83,70,65,61,76,54,28,59,64,63,58,66,44,33,46,49,52,57,55,40,18,42,48
AL,Etowah County,88,79,81,78,80,54,33,57,60,72,69,74,59,39,61,53,64,66,75,48,13,51,48
AL,Fayette County,80,62,71,65,66,55,24,45,43,64,70,65,40,25,40,38,48,54,78,35,16,40,37
AL,Franklin County,75,61,71,79,75,37,24,54,31,65,63,69,36,24,51,36,41,56,56,42,17,36,31
AL,Geneva County,90,87,91,80,88,45,29,59,74,75,66,79,52,17,58,48,63,68,64,31,13,57,54
AL,Greene County,NA,91,93,110,98,48,46,15,94,91,92,85,36,25,46,37,92,15,47,31,11,36,39
AL,Hale County,97,88,90,82,90,58,15,63,67,78,81,81,60,28,44,50,61,67,55,54,13,54,43
AL,Henry County,93,85,86,94,98,78,37,83,86,81,86,85,63,33,69,57,75,82,86,69,7,80,72
AL,Houston County,96,78,81,83,88,57,37,68,71,65,73,74,54,31,60,56,66,64,72,46,9,54,57
AL,Jackson County,90,74,77,77,74,50,26,46,42,61,69,70,56,38,55,46,56,62,64,54,23,57,50
AL,Jefferson County,83,69,60,64,68,39,17,32,41,44,46,50,33,19,37,32,45,47,52,36,6,32,30
AL,Lamar County,88,82,71,85,82,54,26,46,51,72,77,83,46,29,60,45,65,54,72,43,20,52,39
AL,Lauderdale County,96,78,77,80,73,55,34,57,47,71,70,75,54,37,55,53,57,65,72,48,18,56,49
AL,Lawrence County,84,64,62,68,58,39,24,48,42,59,63,57,38,29,55,39,47,66,53,39,13,46,40
AL,Lee County,104,95,90,95,100,72,35,68,71,77,77,90,67,34,68,57,73,80,83,55,11,56,53
AL,Limestone County,76,62,56,57,61,39,26,37,33,51,49,58,39,24,38,30,43,44,58,38,10,30,32
AL,Lowndes County,104,97,98,113,104,77,68,101,94,100,106,86,67,53,87,89,93,94,87,45,31,64,96
AL,Macon County,97,84,32,45,128,22,8,20,23,47,40,42,17,2,21,9,22,21,29,8,2,21,21
AL,Madison County,80,65,59,58,57,30,15,34,24,44,45,53,32,10,29,23,32,37,47,28,1,20,22
AL,Marengo County,97,88,96,63,77,70,26,57,60,78,53,63,29,25,45,34,47,65,63,26,13,29,38
AL,Marion County,92,78,72,85,71,52,38,57,52,68,66,80,55,34,55,44,57,64,65,43,28,51,46
AL,Marshall County,89,80,76,79,76,60,34,51,52,68,67,71,57,38,54,49,60,62,73,48,19,46,52
AL,Mobile County,95,84,75,75,81,48,28,62,62,58,61,67,42,22,48,44,55,54,60,33,7,43,43
AL,Monroe County,89,95,85,84,87,65,57,64,66,64,68,74,61,46,71,58,68,64,72,43,27,57,55
AL,Montgomery County,89,81,73,69,75,46,16,53,55,58,58,66,40,14,40,37,49,51,61,28,4,34,31
AL,Morgan County,80,70,65,66,70,41,29,47,43,53,58,66,38,25,45,39,48,49,62,36,11,42,42
AL,Perry County,89,74,83,67,69,64,17,50,24,53,33,33,15,30,25,28,41,25,49,26,14,43,21
AL,Pickens County,80,79,73,80,76,45,40,69,66,64,66,63,41,34,45,50,48,44,54,34,13,57,46
AL,Pike County,116,90,101,105,114,89,57,83,76,89,81,101,76,49,61,69,83,83,93,67,29,67,67
AL,Randolph County,94,71,72,77,75,47,29,45,52,55,51,58,37,35,46,41,48,59,56,29,23,39,42
AL,Russell County,86,78,77,78,82,50,18,53,56,62,59,62,50,23,49,44,53,58,55,27,7,34,40
AL,Saint Clair County,87,72,63,64,68,38,18,39,44,47,51,50,31,21,43,37,46,48,53,31,8,37,36
AL,Shelby County,78,63,55,56,63,39,15,29,37,42,42,47,32,16,35,28,37,41,47,31,5,26,27
AL,Sumter County,157,132,148,106,160,79,49,90,91,103,113,99,74,46,48,50,79,61,84,71,18,63,51
AL,Talladega County,78,76,65,65,72,39,26,40,43,51,55,63,45,22,42,35,50,46,58,39,13,36,34
AL,Tallapoosa County,82,73,74,82,77,49,56,48,65,70,67,70,56,66,68,42,51,59,67,47,40,56,45
AL,Tuscaloosa County,111,104,98,101,106,70,38,71,74,84,80,89,69,34,51,51,66,68,75,51,18,57,54
AL,Walker County,89,77,66,78,77,48,32,48,54,60,62,63,40,30,46,46,54,60,68,40,20,51,45
AL,Washington County,82,89,NA,51,NA,NA,44,26,29,27,51,37,30,20,31,29,51,36,51,23,12,39,32
AL,Wilcox County,146,55,45,91,103,84,33,45,31,36,75,97,37,117,32,40,61,67,76,44,31,30,46
AL,Winston County,88,84,68,77,74,46,41,51,44,56,59,58,45,42,52,43,45,57,62,41,24,48,39
AK,Anchorage Municipality,82,70,62,45,63,1,1,19,10,9,10,12,0,0,2,8,7,5,23,3,0,12,5
AK,Fairbanks North Star Borough,62,75,21,30,12,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1
AK,Juneau City and Borough,30,42,19,33,25,3,2,5,9,3,3,3,2,2,2,2,2,2,2,1,2,2,2
AK,Kenai Peninsula Borough,73,60,48,30,42,0,0,30,18,28,20,23,0,0,1,15,2,8,15,1,0,10,4
AK,Ketchikan Gateway Borough,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,8,11,15,12,9,17,5,10,NA,NA
AK,Matanuska-Susitna Borough,86,66,38,35,51,0,0,12,15,14,15,27,0,0,0,7,3,4,12,2,0,4,11
AK,North Slope Borough,90,78,97,20,44,9,20,10,28,23,93,84,18,17,11,20,19,20,112,99,13,21,20
AZ,Apache County,96,78,68,81,118,46,12,19,31,40,13,15,28,21,31,32,33,18,57,18,12,21,27
AZ,Cochise County,72,61,45,49,54,15,5,32,30,28,20,21,3,1,18,21,9,13,20,2,1,6,5
AZ,Coconino County,165,149,80,80,102,57,45,47,57,44,42,40,38,20,32,42,35,40,49,30,12,29,36
AZ,Gila County,78,69,53,46,63,31,48,51,43,54,42,35,34,30,44,32,25,28,42,34,34,29,38
AZ,Graham County,81,94,72,76,92,80,20,69,85,68,80,74,50,14,68,88,64,67,64,52,7,71,66
