,created_at,positive,negative,total,weekday,date,weekend
1,Fri Apr 03,0.357254231,0.377638334,26295,Fri ,4/3/20,0
2,Fri Mar 20,0.347079528,0.381230974,21024,Fri ,3/20/20,0
3,Fri Mar 27,0.353983263,0.341194798,27603,Fri ,3/27/20,0
4,Mon Apr 06,0.359947067,0.363721021,20403,Mon ,4/6/20,0
5,Mon Mar 16,0.321376636,0.361972855,16504,Mon ,3/16/20,0
6,Mon Mar 23,0.357065428,0.372977158,25830,Mon ,3/23/20,0
7,Mon Mar 30,0.350746677,0.385263388,18281,Mon ,3/30/20,0
8,Sat Apr 04,0.327774089,0.383001992,25603,Sat ,4/4/20,1
9,Sat Mar 21,0.377396569,0.345402742,16847,Sat ,3/21/20,1
10,Sat Mar 28,0.373569909,0.333266428,24911,Sat ,3/28/20,1
11,Sun Apr 05,0.333628632,0.379636192,16932,Sun ,4/5/20,1
12,Sun Mar 22,0.352248965,0.369428841,24389,Sun ,3/22/20,1
13,Sun Mar 29,0.350236442,0.357631552,19878,Sun ,3/29/20,1
14,Thu Apr 02,0.330470317,0.385674827,26429,Thu ,4/2/20,0
15,Thu Mar 19,0.329747586,0.397975606,23612,Thu ,3/19/20,0
16,Thu Mar 26,0.363820596,0.370166924,18751,Thu ,3/26/20,0
17,Tue Apr 07,0.373548886,0.337045318,23258,Tue ,4/7/20,0
18,Tue Mar 17,0.293071708,0.394548965,22271,Tue ,3/17/20,0
19,Tue Mar 24,0.348731219,0.352941176,25891,Tue ,3/24/20,0
20,Tue Mar 31,0.365969616,0.37515639,27975,Tue ,3/31/20,0
21,Wed Apr 01,0.340089109,0.375431309,29851,Wed ,4/1/20,0
22,Wed Mar 18,0.32259891,0.369169793,14129,Wed ,3/18/20,0
23,Wed Mar 25,0.374283092,0.334767148,17436,Wed ,3/25/20,0
