,created_at,Positive,Negative,Neural,,date
1,Fri Apr 03,0.357254231,0.377638334,0.265107435,,4/3/20
2,Fri Mar 20,0.347079528,0.381230974,0.271689498,,3/20/20
3,Fri Mar 27,0.353983263,0.341194798,0.304821939,,3/27/20
4,Mon Apr 06,0.359947067,0.363721021,0.276331912,,4/6/20
5,Mon Mar 16,0.321376636,0.361972855,0.316650509,,3/16/20
6,Mon Mar 23,0.357065428,0.372977158,0.269957414,,3/23/20
7,Mon Mar 30,0.350746677,0.385263388,0.263989935,,3/30/20
8,Sat Apr 04,0.327774089,0.383001992,0.289223919,,4/4/20
9,Sat Mar 21,0.377396569,0.345402742,0.277200689,,3/21/20
10,Sat Mar 28,0.373569909,0.333266428,0.293163663,,3/28/20
11,Sun Apr 05,0.333628632,0.379636192,0.286735176,,4/5/20
12,Sun Mar 22,0.352248965,0.369428841,0.278322194,,3/22/20
13,Sun Mar 29,0.350236442,0.357631552,0.292132006,,3/29/20
14,Thu Apr 02,0.330470317,0.385674827,0.283854856,,4/2/20
15,Thu Mar 19,0.329747586,0.397975606,0.272276808,,3/19/20
16,Thu Mar 26,0.363820596,0.370166924,0.26601248,,3/26/20
17,Tue Apr 07,0.373548886,0.337045318,0.289405796,,4/7/20
18,Tue Mar 17,0.293071708,0.394548965,0.312379327,,3/17/20
19,Tue Mar 24,0.348731219,0.352941176,0.298327605,,3/24/20
20,Tue Mar 31,0.365969616,0.37515639,0.258873994,,3/31/20
21,Wed Apr 01,0.340089109,0.375431309,0.284479582,,4/1/20
22,Wed Mar 18,0.32259891,0.369169793,0.308231297,,3/18/20
23,Wed Mar 25,0.374283092,0.334767148,0.29094976,,3/25/20
